coach_id,display_name,team_id,role,age,years_experience,coaching_tree,prior_head_coach,contract_years_remaining,hot_seat_rating,overall_rating,data_class
CCH0065,Osborne Aubert,BAL,Assistant Head Coach,47,20,Defensive,0,4,38,70,GENERATED
CCH0066,Morris Gorsuch,BAL,Quarterbacks Coach,39,6,Front Office,0,2,70,50,GENERATED
CCH0067,Hollis Minshew,BAL,Running Backs Coach,35,2,Offensive,0,1,38,66,GENERATED
CCH0068,Willard Treadwell,BAL,Wide Receivers Coach,35,1,Offensive,0,1,17,53,GENERATED
CCH0069,Arthur Wainwright,BAL,Tight Ends Coach,39,2,Special Teams,0,3,47,66,GENERATED
CCH0070,Ferdinand Overstreet,BAL,Offensive Line Coach,43,18,Defensive,0,2,58,72,GENERATED
CCH0071,Hollis Sylvester,BAL,Defensive Line Coach,48,12,Offensive,0,1,35,77,GENERATED
CCH0072,Linwood Chukwu,BAL,Outside Linebackers Coach,37,5,Special Teams,0,3,4,61,GENERATED
CCH0073,Raymond Neasman,BAL,Linebackers Coach,45,10,Defensive,0,3,51,61,GENERATED
CCH0074,Everett Fleener,BAL,Defensive Backs Coach,37,4,Offensive,0,4,44,58,GENERATED
CCH0075,Rudolph Garrison,BAL,Strength & Conditioning,41,2,Defensive,0,2,37,49,GENERATED
CCH0076,Byron Berrios,PIT,Head Coach,47,21,Offensive,0,2,21,85,GENERATED
CCH0077,Dean Oakman,PIT,Offensive Coordinator,33,9,Defensive,0,1,16,73,GENERATED
CCH0078,Gerald Hargrave,PIT,Defensive Coordinator,41,6,Offensive,0,1,57,86,GENERATED
CCH0079,Willard Melchior,PIT,Special Teams Coordinator,48,12,Special Teams,0,3,42,59,GENERATED
CCH0080,Virgil Vinovich,PIT,Assistant Head Coach,34,9,Defensive,0,4,6,61,GENERATED
CCH0081,Marvin Gholston,PIT,Quarterbacks Coach,36,6,Defensive,0,1,29,72,GENERATED
CCH0082,Milton Nakoa,PIT,Running Backs Coach,54,17,Offensive,1,2,34,67,GENERATED
CCH0083,Gordon Clevenger,PIT,Wide Receivers Coach,33,3,Offensive,0,1,53,71,GENERATED
CCH0084,Ulysses Bedard,PIT,Tight Ends Coach,44,8,Front Office,0,3,29,68,GENERATED
CCH0085,Kermit Hathaway,PIT,Offensive Line Coach,33,7,Offensive,0,4,49,47,GENERATED
CCH0086,Kingsley Stanback,PIT,Defensive Line Coach,39,10,Defensive,0,1,27,49,GENERATED
CCH0087,Barrett Pinnock,PIT,Outside Linebackers Coach,48,16,Offensive,0,3,7,66,GENERATED
CCH0088,Sterling Melchior,PIT,Linebackers Coach,50,15,Defensive,0,4,18,64,GENERATED
CCH0089,Franklin Pellegrini,PIT,Defensive Backs Coach,30,4,Defensive,0,1,22,72,GENERATED
CCH0090,Ignatius Hunnicutt,PIT,Strength & Conditioning,51,14,Defensive,0,4,28,59,GENERATED
CCH0091,Orville Buckner,CLE,Head Coach,57,21,Special Teams,0,2,30,80,GENERATED
CCH0092,Rudolph Scovel,CLE,Offensive Coordinator,38,15,Defensive,1,4,43,80,GENERATED
CCH0093,Gordon Zabransky,CLE,Defensive Coordinator,46,8,Special Teams,0,1,71,74,GENERATED
CCH0094,Clifford Tuanigamanuolepola,CLE,Special Teams Coordinator,41,10,Front Office,0,4,17,64,GENERATED
CCH0095,Kermit Thorogood,CLE,Assistant Head Coach,50,13,Defensive,0,4,45,52,GENERATED
CCH0096,Lawrence Sokolowski,CLE,Quarterbacks Coach,32,6,Defensive,0,3,12,65,GENERATED
CCH0097,Milton Tavai,CLE,Running Backs Coach,32,3,Defensive,0,3,13,46,GENERATED
CCH0098,Morris Veilleux,CLE,Wide Receivers Coach,37,8,Offensive,0,4,17,52,GENERATED
CCH0099,Alistair Eldridge,CLE,Tight Ends Coach,39,5,Defensive,0,2,31,67,GENERATED
CCH0100,Ronald Sabbagh,CLE,Offensive Line Coach,44,8,Offensive,0,4,37,43,GENERATED
CCH0101,Hollis Parham,CLE,Defensive Line Coach,55,23,Offensive,0,1,56,67,GENERATED
CCH0102,Nathaniel Piscopo,CLE,Outside Linebackers Coach,44,4,Defensive,0,4,24,74,GENERATED
CCH0103,Stuart Judkins,CLE,Linebackers Coach,40,3,Special Teams,0,3,59,62,GENERATED
CCH0104,Melvin Hightower,CLE,Defensive Backs Coach,42,9,Special Teams,0,1,35,61,GENERATED
CCH0105,Elliot Orlovsky,CLE,Strength & Conditioning,39,9,Front Office,0,4,58,54,GENERATED
CCH0106,Judson Lemieux,CIN,Head Coach,44,20,Offensive,0,2,37,96,GENERATED
CCH0107,Lyle Winchester,CIN,Offensive Coordinator,43,12,Offensive,0,4,64,75,GENERATED
CCH0108,Clifford Seeley,CIN,Defensive Coordinator,38,3,Defensive,0,2,57,67,GENERATED
CCH0109,Grant Prewitt,CIN,Special Teams Coordinator,32,1,Offensive,0,2,35,80,GENERATED
CCH0110,Howard Veilleux,CIN,Assistant Head Coach,42,12,Defensive,0,4,51,72,GENERATED
CCH0111,Arthur Spillane,CIN,Quarterbacks Coach,52,19,Offensive,0,2,85,68,GENERATED
CCH0112,Kingsley Stenberg,CIN,Running Backs Coach,49,16,Defensive,1,3,29,70,GENERATED
CCH0113,Fitzgerald Gandy,CIN,Wide Receivers Coach,46,11,Special Teams,0,1,39,69,GENERATED
CCH0114,Thurgood Kanell,CIN,Tight Ends Coach,44,10,Defensive,0,2,1,78,GENERATED
CCH0115,Roy Canfield,CIN,Offensive Line Coach,48,9,Offensive,0,3,51,66,GENERATED
CCH0116,Vaughn Pouncey,CIN,Defensive Line Coach,43,9,Special Teams,0,4,35,73,GENERATED
CCH0117,Morris Wrighster,CIN,Outside Linebackers Coach,43,13,Defensive,0,3,21,72,GENERATED
CCH0118,Howard Crandall,CIN,Linebackers Coach,45,12,Offensive,0,3,39,60,GENERATED
CCH0119,Irvin Aguilar,CIN,Defensive Backs Coach,44,11,Special Teams,0,2,43,56,GENERATED
CCH0120,Waldo Piscopo,CIN,Strength & Conditioning,45,11,Defensive,0,3,23,62,GENERATED
CCH0121,Edwin Oduya,HOU,Head Coach,37,12,Front Office,0,3,53,63,GENERATED
CCH0122,Newton Halloran,HOU,Offensive Coordinator,36,4,Defensive,0,2,44,63,GENERATED
CCH0123,Orville Beauchamp,HOU,Defensive Coordinator,37,4,Defensive,0,1,42,64,GENERATED
CCH0124,Roy Prewitt,HOU,Special Teams Coordinator,38,4,Defensive,0,3,67,51,GENERATED
CCH0125,Clarence Passmore,HOU,Assistant Head Coach,49,14,Defensive,0,3,39,64,GENERATED
CCH0126,Osborne Latimore,HOU,Quarterbacks Coach,37,4,Defensive,0,1,59,66,GENERATED
CCH0127,Gerald Ansley,HOU,Running Backs Coach,41,4,Defensive,0,3,52,59,GENERATED
CCH0128,Keith Tonyan,HOU,Wide Receivers Coach,43,4,Defensive,0,1,48,53,GENERATED
CCH0129,Grant Wiggington,HOU,Tight Ends Coach,46,10,Defensive,0,4,31,49,GENERATED
CCH0130,Garth Waldron,HOU,Offensive Line Coach,43,10,Front Office,0,3,34,59,GENERATED
CCH0131,Zebedee Rainsberger,HOU,Defensive Line Coach,41,9,Defensive,0,1,47,67,GENERATED
CCH0132,Grant Swearinger,HOU,Outside Linebackers Coach,40,6,Offensive,0,1,47,50,GENERATED
CCH0133,Bernard Cardenas,HOU,Linebackers Coach,48,12,Defensive,0,3,12,66,GENERATED
CCH0134,Delmar Tolbert,HOU,Defensive Backs Coach,46,18,Defensive,0,2,43,56,GENERATED
CCH0135,Kermit Slocum,HOU,Strength & Conditioning,45,9,Offensive,0,3,67,70,GENERATED
CCH0136,Wayne Dillard,IND,Head Coach,50,23,Special Teams,0,1,38,79,GENERATED
CCH0137,Purcell Hollins,IND,Offensive Coordinator,62,29,Offensive,0,3,38,71,GENERATED
CCH0138,Elliot Rhodes,IND,Defensive Coordinator,49,14,Offensive,0,3,1,60,GENERATED
CCH0139,Yeats Arceneaux,IND,Special Teams Coordinator,38,10,Front Office,0,4,63,87,GENERATED
CCH0140,Beauregard Trevathan,IND,Assistant Head Coach,34,6,Defensive,0,4,50,68,GENERATED
CCH0141,Lester Paddock,IND,Quarterbacks Coach,48,9,Defensive,0,4,40,58,GENERATED
CCH0142,Upton Bracken,IND,Running Backs Coach,46,10,Defensive,0,2,40,72,GENERATED
CCH0143,Yancy Uche,IND,Wide Receivers Coach,36,6,Special Teams,0,2,1,61,GENERATED
CCH0144,Simeon Wilkerson,IND,Tight Ends Coach,43,16,Defensive,0,4,44,65,GENERATED
CCH0145,Chuck Cahill,IND,Offensive Line Coach,39,14,Offensive,0,4,47,73,GENERATED
CCH0146,Clifford Gallardo,IND,Defensive Line Coach,35,6,Offensive,0,1,41,54,GENERATED
CCH0147,Jarrett Tonyan,IND,Outside Linebackers Coach,41,4,Offensive,0,2,27,63,GENERATED
CCH0148,Quentin Grantham,IND,Linebackers Coach,42,16,Defensive,1,2,48,73,GENERATED
CCH0149,Yeats Harrell,IND,Defensive Backs Coach,44,4,Defensive,0,4,19,57,GENERATED
CCH0150,Leroy Donnelly,IND,Strength & Conditioning,48,9,Offensive,0,1,11,59,GENERATED
CCH0151,Prentice Ingold,JAX,Head Coach,40,14,Special Teams,0,3,67,78,GENERATED
CCH0152,Lowell Diallo,JAX,Offensive Coordinator,53,13,Special Teams,0,4,41,64,GENERATED
CCH0153,Darnell Deakins,JAX,Defensive Coordinator,38,7,Offensive,0,2,23,69,GENERATED
CCH0154,Morris Grissom,JAX,Special Teams Coordinator,41,5,Defensive,0,4,45,55,GENERATED
CCH0155,Quentin Verrett,JAX,Assistant Head Coach,37,6,Offensive,0,3,33,65,GENERATED
CCH0156,Xavier Vanderveer,JAX,Quarterbacks Coach,41,3,Defensive,0,4,15,53,GENERATED
CCH0157,Monte Culpepper,JAX,Running Backs Coach,47,13,Defensive,0,3,57,55,GENERATED
CCH0158,Percy Lockridge,JAX,Wide Receivers Coach,43,18,Defensive,0,3,13,86,GENERATED
CCH0159,Milton Osweiler,JAX,Tight Ends Coach,39,1,Defensive,0,3,47,48,GENERATED
CCH0160,Thurgood Marsalis,JAX,Offensive Line Coach,53,20,Offensive,1,4,31,87,GENERATED
CCH0161,Everett Girardi,JAX,Defensive Line Coach,46,10,Offensive,0,1,51,73,GENERATED
CCH0162,Earl Whitcomb,JAX,Outside Linebackers Coach,37,4,Defensive,0,1,27,61,GENERATED
CCH0163,Fitzgerald Hinkley,JAX,Linebackers Coach,49,9,Offensive,0,3,21,73,GENERATED
CCH0164,Reginald Dettmer,JAX,Defensive Backs Coach,37,8,Special Teams,0,3,34,64,GENERATED
CCH0165,Lester Spielman,JAX,Strength & Conditioning,39,9,Defensive,0,3,32,56,GENERATED
CCH0166,Isaac Bouchard,TEN,Head Coach,46,11,Defensive,0,1,35,85,GENERATED
CCH0167,Hampton Newsome,TEN,Offensive Coordinator,59,23,Offensive,0,3,58,72,GENERATED
CCH0168,Merle Hufanga,TEN,Defensive Coordinator,42,8,Defensive,0,2,18,88,GENERATED
CCH0169,Carlton Crockett,TEN,Special Teams Coordinator,41,11,Offensive,0,3,32,58,GENERATED
CCH0170,Byron Eckhardt,TEN,Assistant Head Coach,48,6,Defensive,0,4,36,66,GENERATED
CCH0171,Winston Burnell,TEN,Quarterbacks Coach,40,13,Front Office,0,1,57,79,GENERATED
CCH0172,Clifford Derozan,TEN,Running Backs Coach,65,40,Offensive,0,1,12,62,GENERATED
CCH0173,Edwin Jorgensen,TEN,Wide Receivers Coach,49,11,Defensive,0,3,29,63,GENERATED
CCH0174,Hal Trevathan,TEN,Tight Ends Coach,42,4,Defensive,0,4,28,76,GENERATED
CCH0175,Virgil Carrington,TEN,Offensive Line Coach,43,9,Special Teams,0,1,39,59,GENERATED
CCH0176,Jules Grantham,TEN,Defensive Line Coach,39,14,Defensive,0,3,39,75,GENERATED
CCH0177,Hal Tonyan,TEN,Outside Linebackers Coach,42,13,Defensive,0,2,7,69,GENERATED
CCH0178,Yeats Dungy,TEN,Linebackers Coach,43,14,Front Office,0,3,49,68,GENERATED
CCH0179,Otis Zamora,TEN,Defensive Backs Coach,47,19,Offensive,0,4,24,66,GENERATED
CCH0180,Isaac Ugwoegbu,TEN,Strength & Conditioning,43,13,Offensive,0,2,33,77,GENERATED
CCH0181,Ira Mascarenas,DEN,Head Coach,42,17,Offensive,0,1,1,90,GENERATED
CCH0182,Everett Harmon,DEN,Offensive Coordinator,52,14,Offensive,0,1,63,67,GENERATED
CCH0183,Sterling Sunderland,DEN,Defensive Coordinator,43,13,Defensive,0,4,47,75,GENERATED
CCH0184,Octavius Dettmer,DEN,Special Teams Coordinator,44,13,Defensive,0,2,37,66,GENERATED
CCH0185,Stuart Nesbitt,DEN,Assistant Head Coach,40,7,Defensive,0,3,14,60,GENERATED
CCH0186,Sherman Purifoy,DEN,Quarterbacks Coach,45,18,Offensive,0,2,46,69,GENERATED
CCH0187,Prentice Sunderland,DEN,Running Backs Coach,40,8,Defensive,0,2,10,61,GENERATED
CCH0188,Sheldon Kessler,DEN,Wide Receivers Coach,46,11,Offensive,0,2,1,46,GENERATED
CCH0189,Garth Jodeci,DEN,Tight Ends Coach,42,12,Offensive,0,2,19,87,GENERATED
CCH0190,Garth Mahaffey,DEN,Offensive Line Coach,33,5,Offensive,0,1,61,61,GENERATED
CCH0191,Xavier Sistrunk,DEN,Defensive Line Coach,49,16,Offensive,0,3,31,70,GENERATED
CCH0192,Hampton Makinen,DEN,Outside Linebackers Coach,41,10,Defensive,0,3,38,67,GENERATED
CCH0193,Delmar Ellington,DEN,Linebackers Coach,43,6,Special Teams,0,2,8,51,GENERATED
CCH0194,Norman Lasseter,DEN,Defensive Backs Coach,37,10,Defensive,0,2,41,62,GENERATED
CCH0195,Sheldon Rapp,DEN,Strength & Conditioning,46,16,Defensive,0,3,38,50,GENERATED
CCH0196,Fitzgerald Dumervil,KC,Head Coach,41,13,Offensive,0,1,37,85,GENERATED
CCH0197,Lamar Wadsworth,KC,Offensive Coordinator,42,12,Offensive,0,1,21,78,GENERATED
CCH0198,Linwood Canfield,KC,Defensive Coordinator,51,22,Offensive,0,1,75,94,GENERATED
CCH0199,Merrill Ruggiero,KC,Special Teams Coordinator,39,14,Defensive,0,2,61,84,GENERATED
CCH0200,Merrill Poteat,KC,Assistant Head Coach,40,8,Defensive,0,4,30,76,GENERATED
CCH0201,Reginald Forsythe,KC,Quarterbacks Coach,39,9,Offensive,0,1,53,59,GENERATED
CCH0202,Maurice Rombach,KC,Running Backs Coach,40,7,Special Teams,0,1,24,68,GENERATED
CCH0203,Linwood Fleener,KC,Wide Receivers Coach,46,12,Front Office,0,1,69,66,GENERATED
CCH0204,Dale Walkowiak,KC,Tight Ends Coach,39,13,Defensive,0,1,43,68,GENERATED
CCH0205,Raymond Montgomery,KC,Offensive Line Coach,45,13,Offensive,0,2,32,76,GENERATED
CCH0206,Hampton Bancroft,KC,Defensive Line Coach,38,7,Offensive,0,1,41,62,GENERATED
CCH0207,Octavius Whitcomb,KC,Outside Linebackers Coach,36,2,Defensive,0,2,55,66,GENERATED
CCH0208,Sheldon Dorsett,KC,Linebackers Coach,42,7,Front Office,0,4,77,71,GENERATED
CCH0209,Osborne Dombrowski,KC,Defensive Backs Coach,46,11,Defensive,0,2,51,68,GENERATED
CCH0210,Waldo Gaskins,KC,Strength & Conditioning,34,3,Offensive,0,3,35,73,GENERATED
CCH0211,Morris Kalapana,LV,Head Coach,41,12,Defensive,0,3,38,81,GENERATED
CCH0212,Hollis Halloran,LV,Offensive Coordinator,46,14,Offensive,0,2,16,89,GENERATED
CCH0213,Virgil Yelverton,LV,Defensive Coordinator,41,5,Offensive,0,4,36,66,GENERATED
CCH0214,Dale Strahan,LV,Special Teams Coordinator,36,5,Front Office,0,2,62,59,GENERATED
CCH0215,Howard Dargan,LV,Assistant Head Coach,38,3,Defensive,0,2,17,58,GENERATED
CCH0216,Zebedee Hopkins,LV,Quarterbacks Coach,33,11,Offensive,0,1,38,57,GENERATED
CCH0217,Hal Broadwater,LV,Running Backs Coach,37,8,Defensive,0,2,34,58,GENERATED
CCH0218,Zachary Dewitt,LV,Wide Receivers Coach,38,2,Offensive,0,3,25,63,GENERATED
CCH0219,Lester Wisniewski,LV,Tight Ends Coach,34,5,Defensive,0,4,29,62,GENERATED
CCH0220,Curtis Pallister,LV,Offensive Line Coach,43,7,Defensive,0,2,32,60,GENERATED
CCH0221,Russell Davenport,LV,Defensive Line Coach,46,13,Defensive,0,2,36,67,GENERATED
CCH0222,Gordon Flannery,LV,Outside Linebackers Coach,45,14,Defensive,0,2,22,57,GENERATED
CCH0223,Floyd Padgett,LV,Linebackers Coach,57,27,Special Teams,1,3,4,62,GENERATED
CCH0224,Simeon Honeycutt,LV,Defensive Backs Coach,42,13,Offensive,0,1,43,70,GENERATED
CCH0225,Russell Herrera,LV,Strength & Conditioning,36,3,Offensive,0,3,26,78,GENERATED
CCH0226,Edwin Paschall,LAC,Head Coach,49,12,Offensive,0,2,42,77,GENERATED
CCH0227,Byron Milliner,LAC,Offensive Coordinator,47,7,Offensive,0,4,26,79,GENERATED
CCH0228,Upton Shattuck,LAC,Defensive Coordinator,31,7,Offensive,0,4,37,71,GENERATED
CCH0229,Jerome Youngblood,LAC,Special Teams Coordinator,31,5,Defensive,0,3,16,71,GENERATED
CCH0230,Thurgood Marsalis,LAC,Assistant Head Coach,39,7,Defensive,0,3,27,49,GENERATED
CCH0231,Morris Longacre,LAC,Quarterbacks Coach,44,13,Defensive,0,3,26,69,GENERATED
CCH0232,Warren Kilgore,LAC,Running Backs Coach,54,23,Offensive,0,4,41,71,GENERATED
CCH0233,Xavier Debose,LAC,Wide Receivers Coach,32,9,Offensive,0,4,34,66,GENERATED
CCH0234,Purcell Longacre,LAC,Tight Ends Coach,38,8,Offensive,0,2,22,53,GENERATED
CCH0235,Wendell Pastrana,LAC,Offensive Line Coach,50,7,Front Office,0,1,23,72,GENERATED
CCH0236,Carlton Obadiah,LAC,Defensive Line Coach,35,1,Defensive,0,3,41,66,GENERATED
CCH0237,Franklin Finnegan,LAC,Outside Linebackers Coach,40,13,Special Teams,0,4,15,62,GENERATED
CCH0238,Wayne Ramczyk,LAC,Linebackers Coach,39,4,Special Teams,0,2,31,53,GENERATED
CCH0239,Winston Lemieux,LAC,Defensive Backs Coach,62,31,Offensive,1,4,35,90,GENERATED
CCH0240,Newton Goodson,LAC,Strength & Conditioning,46,14,Defensive,0,3,8,52,GENERATED
CCH0241,Douglas Gwaltney,DAL,Head Coach,40,13,Offensive,0,3,37,70,GENERATED
CCH0242,Rex Cromartie,DAL,Offensive Coordinator,28,4,Defensive,0,1,63,51,GENERATED
CCH0243,Cassius Teasdale,DAL,Defensive Coordinator,47,15,Offensive,0,2,37,77,GENERATED
CCH0244,Irvin Longacre,DAL,Special Teams Coordinator,41,10,Defensive,0,4,27,57,GENERATED
CCH0245,Otis Langford,DAL,Assistant Head Coach,50,24,Defensive,0,1,19,54,GENERATED
CCH0246,Sherman Houghton,DAL,Quarterbacks Coach,43,11,Offensive,0,2,39,48,GENERATED
CCH0247,Phillip Welbourne,DAL,Running Backs Coach,39,3,Defensive,0,1,27,54,GENERATED
CCH0248,Nathaniel Deakins,DAL,Wide Receivers Coach,40,11,Offensive,0,2,44,66,GENERATED
CCH0249,Merrill Windham,DAL,Tight Ends Coach,30,2,Defensive,0,4,15,67,GENERATED
CCH0250,Rex Kerrigan,DAL,Offensive Line Coach,38,10,Defensive,0,2,30,71,GENERATED
CCH0251,Leon Callender,DAL,Defensive Line Coach,43,10,Defensive,0,4,22,61,GENERATED
CCH0252,Wendell Lasseter,DAL,Outside Linebackers Coach,29,3,Offensive,0,3,31,60,GENERATED
CCH0253,Hampton Markham,DAL,Linebackers Coach,53,18,Offensive,0,3,25,59,GENERATED
CCH0254,Morris Vickers,DAL,Defensive Backs Coach,47,20,Defensive,0,2,46,62,GENERATED
CCH0255,Sheldon Mabry,DAL,Strength & Conditioning,44,22,Defensive,0,4,24,67,GENERATED
CCH0256,Dennis Dungy,PHI,Head Coach,48,15,Special Teams,0,1,9,83,GENERATED
CCH0257,Yeats Clevenger,PHI,Offensive Coordinator,54,20,Offensive,0,3,63,73,GENERATED
CCH0258,Grover Marsalis,PHI,Defensive Coordinator,60,30,Offensive,1,1,27,75,GENERATED
CCH0259,Zachary Ennis,PHI,Special Teams Coordinator,35,4,Offensive,0,2,33,64,GENERATED
CCH0260,Lawrence Slocum,PHI,Assistant Head Coach,54,27,Defensive,0,4,28,86,GENERATED
CCH0261,Ignatius Cortés,PHI,Quarterbacks Coach,42,9,Defensive,0,2,36,62,GENERATED
CCH0262,Octavius Tonyan,PHI,Running Backs Coach,47,14,Front Office,0,4,66,59,GENERATED
CCH0263,Vernon Wamsley,PHI,Wide Receivers Coach,50,12,Offensive,0,3,41,72,GENERATED
CCH0264,Marvin Strahan,PHI,Tight Ends Coach,36,4,Offensive,0,4,29,55,GENERATED
