prospect_id,draft_year,display_name,position,position_group,college_id,college_name,age,height_inches,weight_lbs,scout_grade,projected_round,floor_rating,ceiling_rating,bust_risk,forty_yard,scouting_confidence,prospect_class,data_class
PRO2027_011,2027,Ike Rathman,S,Secondary,COL0047,Northcrest College,22,71,197,63.9,Round 5,59,80,3,4.37,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_012,2027,Davion Claiborne,OT,O-Line,COL0125,Falcon Ridge Institute,21,77,312,67.1,Round 5,63,89,37,4.83,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_013,2027,Larkin Stepnoski,WR,Receiver,COL0122,Falcon Ridge Tech,22,75,180,76.0,Round 3,64,83,68,4.35,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_014,2027,Izaiah Arnett,S,Secondary,COL0169,Harrowgate State,22,72,203,55.2,Round 7,45,61,17,4.34,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_015,2027,Auden Paschall,S,Secondary,COL0169,Harrowgate State,20,72,208,77.5,Round 3,69,86,25,4.23,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_016,2027,Pierce Sessoms,QB,Quarterback,COL0204,Lakemont State,21,78,226,45.9,Priority UDFA,40,62,62,4.55,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_017,2027,Uriah Halloran,S,Secondary,COL0038,Kelvinridge Tech,21,70,213,68.7,Round 4,55,87,57,4.48,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_018,2027,Vernon Owusu,OT,O-Line,COL0062,Havenport Institute,21,77,329,50.8,Priority UDFA,39,67,45,4.9,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_019,2027,Miller Grantham,TE,Receiver,COL0047,Northcrest College,22,77,247,55.2,Round 7,48,62,34,4.59,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_020,2027,Lucian Langford,DT,Front Seven,COL0135,Larkspur University,23,75,330,64.8,Round 5,59,76,59,4.73,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_021,2027,Salem Mayfield,WR,Receiver,COL0207,Lakemont A&M,22,70,221,50.4,Priority UDFA,46,65,44,4.59,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_022,2027,Ramsey Crouch,TE,Receiver,COL0198,Copper Creek University,24,76,258,55.1,Round 7,42,63,3,4.49,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_023,2027,Halsey Frazier,OG,O-Line,COL0158,Granite Bay A&M,22,76,305,72.6,Round 4,61,92,38,4.65,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_024,2027,Sarkis Alcott,S,Secondary,COL0192,Pinehurst Valley Tech,23,70,190,65.2,Round 5,54,84,23,4.54,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_025,2027,Kwame Yiadom,S,Secondary,COL0054,Redbluff College,21,70,213,47.6,Priority UDFA,40,53,68,4.62,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_026,2027,Tadeo Gentry,OT,O-Line,COL0224,Foxcroft State Tech,21,77,306,30.0,Priority UDFA,35,52,50,4.63,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_027,2027,Tobias Beauchamp,OT,O-Line,COL0224,Foxcroft State Tech,20,78,295,91.2,Round 1,79,99,51,4.64,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_028,2027,Deion Telfer,RB,Backfield,COL0169,Harrowgate State,21,69,233,67.5,Round 5,58,75,72,4.49,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_029,2027,Fletcher Radcliffe,RB,Backfield,COL0042,Kelvinridge State Tech,21,67,205,77.3,Round 3,70,89,59,4.5,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_030,2027,Trace Brinkley,CB,Secondary,COL0002,Calderwood University,20,72,183,71.8,Round 4,65,78,49,4.32,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_031,2027,Saul Culpepper,DT,Front Seven,COL0090,Westmoor Institute,22,75,328,59.3,Round 6,51,71,53,4.74,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_032,2027,Crosby Casillas,CB,Secondary,COL0122,Falcon Ridge Tech,22,68,190,68.7,Round 4,60,81,30,4.48,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_033,2027,Levi Wozniak,CB,Secondary,COL0038,Kelvinridge Tech,21,70,191,65.4,Round 5,54,79,50,4.61,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_034,2027,Sable Satterfield,C,O-Line,COL0016,Ashfield University,23,73,308,73.2,Round 3,65,95,54,4.82,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_035,2027,Ridge Chukwu,WR,Receiver,COL0180,Mount Verity College,22,70,189,79.4,Round 2,68,90,56,4.37,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_036,2027,Demarco Woolfolk,OT,O-Line,COL0076,Cypress Hollow Institute,23,79,302,55.7,Round 7,51,67,49,4.76,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_037,2027,Warner Minshew,S,Secondary,COL0031,Stonewell Tech,21,72,216,63.7,Round 5,58,81,40,4.49,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_038,2027,Kobe Spielman,K,Specialist,COL0180,Mount Verity College,20,71,201,71.9,Round 4,63,84,17,4.33,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_039,2027,Matias Puglisi,OT,O-Line,COL0149,Cedar Falls University,21,78,362,73.0,Round 3,66,89,3,4.66,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_040,2027,Elian Alderman,LB,Front Seven,COL0192,Pinehurst Valley Tech,22,74,224,69.8,Round 4,60,89,44,4.51,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_041,2027,Salvatore Greenlaw,OT,O-Line,COL0040,Kelvinridge College,22,74,322,70.0,Round 4,62,79,69,4.76,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_042,2027,Leon Spillane,S,Secondary,COL0122,Falcon Ridge Tech,22,72,214,63.7,Round 5,54,86,39,4.67,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_043,2027,Dante Zylstra,CB,Secondary,COL0221,Foxcroft A&M,21,72,203,55.7,Round 7,50,68,46,4.22,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_044,2027,Victor Fulmer,DT,Front Seven,COL0072,Cypress Hollow University,21,73,303,35.4,Priority UDFA,35,52,63,4.82,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_045,2027,Kaiden Yoshida,RB,Backfield,COL0037,Kelvinridge University,22,69,225,78.3,Round 2,73,89,60,4.6,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_046,2027,Izaiah Makinen,RB,Backfield,COL0073,Cypress Hollow Tech,20,73,210,54.0,Round 7,43,71,67,4.56,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_047,2027,Fitz Schmitz,C,O-Line,COL0036,Kelvinridge State,21,74,300,67.2,Round 5,56,87,49,4.73,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_048,2027,Vann Cortés,EDGE,Front Seven,COL0094,Bellhaven Tech,20,76,242,86.2,Round 1,73,97,57,4.47,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_049,2027,Sergio Reinhold,WR,Receiver,COL0172,Harrowgate A&M,21,75,185,67.6,Round 5,54,90,60,4.39,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_050,2027,Willem Sanborn,RB,Backfield,COL0108,Quarry Hill Tech,22,71,221,65.1,Round 5,58,80,47,4.42,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_051,2027,Tadeo Gholston,DT,Front Seven,COL0047,Northcrest College,22,76,325,56.6,Round 7,44,73,56,4.35,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_052,2027,Ryland Brasher,CB,Secondary,COL0008,Fort Grayson State,22,68,201,51.2,Priority UDFA,42,67,60,4.41,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_053,2027,Percival Newsome,TE,Receiver,COL0131,Emberton College,21,76,246,53.5,Round 7,49,76,35,4.73,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_054,2027,Talon Schofield,CB,Secondary,COL0051,Redbluff University,21,72,194,39.7,Priority UDFA,35,50,64,4.37,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_055,2027,Ferris Duckworth,EDGE,Front Seven,COL0245,Talbot State Tech,22,75,259,80.0,Round 2,66,89,71,4.64,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_056,2027,Sarkis Uche,EDGE,Front Seven,COL0213,Ravensburg Tech,20,76,247,72.3,Round 4,61,84,59,4.59,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_057,2027,Hiram Willingham,OT,O-Line,COL0196,Pinehurst Valley State Tech,20,76,315,53.7,Round 7,47,62,49,4.54,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_058,2027,Kavion Zimmerman,RB,Backfield,COL0181,Mount Verity Institute,22,71,219,68.6,Round 4,55,91,48,4.3,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_059,2027,Cormac Chukwu,TE,Receiver,COL0112,Quarry Hill State Tech,22,78,248,52.0,Priority UDFA,39,68,46,4.32,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_060,2027,Houston Delacruz,EDGE,Front Seven,COL0100,Thornfield University,22,76,263,66.9,Round 5,60,73,48,4.6,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_061,2027,Duke Loflin,OT,O-Line,COL0092,Bellhaven State,22,75,315,67.6,Round 5,63,83,51,4.93,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_062,2027,Seamus Tucker,CB,Secondary,COL0088,Westmoor A&M,21,69,192,51.1,Priority UDFA,43,61,29,4.55,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_063,2027,Corbin Tyree,OG,O-Line,COL0109,Quarry Hill A&M,20,74,308,83.7,Round 2,74,99,36,4.82,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_064,2027,Ashton Courtland,CB,Secondary,COL0185,Sunderland Tech,22,70,201,79.3,Round 2,67,87,58,4.22,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_065,2027,Arch Lavender,LB,Front Seven,COL0216,Ravensburg Institute,21,74,244,34.2,Priority UDFA,35,50,58,4.49,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_066,2027,Cedric Percival,TE,Receiver,COL0112,Quarry Hill State Tech,22,78,265,55.2,Round 7,44,70,77,4.86,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_067,2027,Yardley Burnell,OG,O-Line,COL0198,Copper Creek University,20,76,303,73.9,Round 3,69,88,18,4.76,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_068,2027,Zuri Telfer,LB,Front Seven,COL0212,Ravensburg University,20,73,248,54.3,Round 7,45,66,70,4.58,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_069,2027,Kelvin Navarrete,LB,Front Seven,COL0122,Falcon Ridge Tech,21,72,219,73.5,Round 3,66,84,97,4.5,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_070,2027,Lyle McLendon,QB,Quarterback,COL0052,Redbluff Tech,20,76,221,67.2,Round 5,60,88,31,4.38,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_071,2027,Stanton Taliaferro,EDGE,Front Seven,COL0061,Havenport College,20,75,275,54.2,Round 7,46,74,46,4.54,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_072,2027,Fritz Mascarenas,P,Specialist,COL0246,Winslow State,20,71,202,66.9,Round 5,60,87,10,4.37,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_073,2027,Aubrey Sutherland,TE,Receiver,COL0149,Cedar Falls University,22,77,270,65.6,Round 5,56,73,64,4.35,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_074,2027,Deshaun Prendergast,WR,Receiver,COL0176,Mount Verity State,23,69,223,56.3,Round 7,47,79,47,4.44,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_075,2027,Montell Castellan,CB,Secondary,COL0230,Dunmore Institute,21,68,184,75.8,Round 3,63,87,36,4.59,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_076,2027,Darian Maunakea,S,Secondary,COL0249,Winslow A&M,22,71,215,57.3,Round 7,52,65,43,4.62,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_077,2027,Ladarius Devereaux,DT,Front Seven,COL0012,Fort Grayson College,21,73,331,37.4,Priority UDFA,35,55,56,4.74,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_078,2027,Malcolm Zapatero,EDGE,Front Seven,COL0134,Larkspur State,21,75,257,46.0,Priority UDFA,37,57,35,4.48,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_079,2027,Micah Legette,LB,Front Seven,COL0233,Clearwater Ridge University,20,74,226,75.8,Round 3,70,97,45,4.65,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_080,2027,Hayes Woodhead,TE,Receiver,COL0026,Marbury College,22,75,251,60.5,Round 6,48,82,30,4.66,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_081,2027,Augustus Creswell,QB,Quarterback,COL0139,Larkspur Institute,22,76,217,70.8,Round 4,59,90,8,4.47,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_082,2027,Slade Carmody,DT,Front Seven,COL0037,Kelvinridge University,20,77,305,85.7,Round 1,73,96,57,4.69,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_083,2027,Amos Spielman,S,Secondary,COL0168,Sablewood State Tech,22,72,197,59.2,Round 6,53,76,52,4.48,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_084,2027,Bexley Passmore,EDGE,Front Seven,COL0175,Harrowgate State Tech,21,75,262,62.9,Round 6,53,77,58,4.65,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_085,2027,Chandler Ogletree,EDGE,Front Seven,COL0193,Pinehurst Valley A&M,21,75,264,47.9,Priority UDFA,40,64,27,4.7,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_086,2027,Draven Lilliard,RB,Backfield,COL0116,Kingsbridge A&M,21,69,196,51.7,Priority UDFA,41,73,40,4.5,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_087,2027,Damon Stanback,OT,O-Line,COL0002,Calderwood University,21,77,311,45.6,Priority UDFA,38,55,57,4.62,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_088,2027,Zaire Mayfield,LS,Specialist,COL0244,Talbot Institute,22,72,251,62.5,Round 6,50,72,51,4.59,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_089,2027,Reeves Reinhold,OG,O-Line,COL0095,Bellhaven A&M,22,75,316,63.8,Round 5,51,82,59,4.79,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_090,2027,Hampton Pastrana,QB,Quarterback,COL0103,Thornfield College,22,74,224,56.6,Round 7,48,75,43,4.4,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_091,2027,Spencer Lenoir,TE,Receiver,COL0108,Quarry Hill Tech,23,74,273,59.8,Round 6,46,66,41,4.86,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_092,2027,Victor Prioleau,LB,Front Seven,COL0246,Winslow State,20,73,235,58.3,Round 6,47,74,45,4.43,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_093,2027,Earl Bedard,TE,Receiver,COL0170,Harrowgate University,20,75,238,51.3,Priority UDFA,40,74,42,4.68,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_094,2027,Orson Wolfington,C,O-Line,COL0077,Cypress Hollow State Tech,20,74,301,66.2,Round 5,54,74,74,4.73,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_095,2027,Paxton Clevenger,P,Specialist,COL0194,Pinehurst Valley College,21,78,202,65.0,Round 5,60,85,52,4.45,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_096,2027,Errol Navarrete,OG,O-Line,COL0170,Harrowgate University,21,73,315,54.8,Round 7,43,68,17,4.83,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_097,2027,Raul Osweiler,WR,Receiver,COL0073,Cypress Hollow Tech,21,74,197,76.5,Round 3,70,93,28,4.26,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_098,2027,Cassian Tenpenny,CB,Secondary,COL0073,Cypress Hollow Tech,22,72,211,53.8,Round 7,40,62,46,4.62,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_099,2027,Baylor Vinovich,WR,Receiver,COL0038,Kelvinridge Tech,21,70,224,44.6,Priority UDFA,40,63,36,4.6,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_100,2027,Adonis Everhart,P,Specialist,COL0184,Sunderland University,22,71,198,52.8,Priority UDFA,48,61,36,4.62,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_101,2027,Lazaro Ironside,TE,Receiver,COL0133,Emberton State Tech,22,77,236,45.7,Priority UDFA,35,66,43,4.46,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_102,2027,Atticus Rathman,TE,Receiver,COL0206,Lakemont Tech,21,79,246,45.5,Priority UDFA,39,66,47,4.53,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_103,2027,Kruz Sullivan,CB,Secondary,COL0026,Marbury College,22,68,193,64.5,Round 5,52,87,48,4.58,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_104,2027,Delano Orlovsky,EDGE,Front Seven,COL0224,Foxcroft State Tech,22,75,284,77.2,Round 3,73,93,53,4.62,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_105,2027,Chandler Whitfield,CB,Secondary,COL0180,Mount Verity College,22,69,188,63.1,Round 5,51,84,49,4.22,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_106,2027,Graham Kanell,EDGE,Front Seven,COL0013,Fort Grayson Institute,20,75,269,73.0,Round 4,59,85,34,4.89,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_107,2027,Archer Santoro,EDGE,Front Seven,COL0083,Iron Gate Institute,22,75,263,73.4,Round 3,62,83,24,4.64,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_108,2027,Ellis Wattenberg,CB,Secondary,COL0068,Silverlake College,21,72,182,53.2,Round 7,42,74,51,4.38,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_109,2027,Hector Marchand,OT,O-Line,COL0028,Marbury State Tech,21,76,304,54.4,Round 7,41,69,24,4.84,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_110,2027,Osmond Dubois,WR,Receiver,COL0038,Kelvinridge Tech,23,70,182,49.4,Priority UDFA,43,63,35,4.27,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_111,2027,Arch Wyckoff,WR,Receiver,COL0065,Silverlake University,22,74,220,58.6,Round 6,53,80,37,4.5,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_112,2027,Sergio Gainer,S,Secondary,COL0048,Northcrest Institute,22,73,204,53.8,Round 7,40,66,7,4.57,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_113,2027,Raul Linscomb,C,O-Line,COL0168,Sablewood State Tech,21,73,292,67.7,Round 5,61,74,40,4.7,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_114,2027,Luca Howze,WR,Receiver,COL0007,Calderwood State Tech,21,70,182,64.1,Round 5,54,75,25,4.22,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_115,2027,Willem Neasman,S,Secondary,COL0055,Redbluff Institute,20,71,210,77.3,Round 3,64,87,44,4.69,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_116,2027,Ike Stockton,P,Specialist,COL0004,Calderwood A&M,20,74,210,56.1,Round 7,46,79,49,4.53,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_117,2027,Micah Valentino,WR,Receiver,COL0107,Quarry Hill University,20,70,212,59.3,Round 6,49,70,51,4.22,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_118,2027,Bram Eckhardt,OG,O-Line,COL0174,Harrowgate Institute,20,76,299,62.0,Round 6,55,84,12,4.63,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_119,2027,Merrick Taliaferro,S,Secondary,COL0047,Northcrest College,21,72,202,66.0,Round 5,62,73,93,4.27,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_120,2027,Cairo Howze,EDGE,Front Seven,COL0169,Harrowgate State,20,76,238,66.1,Round 5,56,77,13,4.47,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_121,2027,Quill Villalobos,C,O-Line,COL0179,Mount Verity A&M,22,78,309,51.4,Priority UDFA,46,57,47,4.47,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_122,2027,Linus Pettaway,DT,Front Seven,COL0084,Iron Gate State Tech,22,73,329,80.7,Round 2,70,99,40,4.7,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_123,2027,Granger Burrage,S,Secondary,COL0207,Lakemont A&M,20,72,201,51.3,Priority UDFA,44,74,11,4.29,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_124,2027,Emmett Dupree,DT,Front Seven,COL0122,Falcon Ridge Tech,20,74,298,69.9,Round 4,62,79,57,4.72,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_125,2027,Cairo Karras,OG,O-Line,COL0122,Falcon Ridge Tech,22,76,305,47.7,Priority UDFA,36,56,19,4.74,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_126,2027,Julius Monfort,C,O-Line,COL0019,Ashfield College,21,76,301,78.4,Round 2,66,89,40,4.7,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_127,2027,Eero Mortenson,DT,Front Seven,COL0242,Talbot A&M,21,75,308,66.7,Round 5,58,73,29,4.53,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_128,2027,Sarkis Bouchard,CB,Secondary,COL0008,Fort Grayson State,22,73,208,65.2,Round 5,57,79,74,4.26,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_129,2027,Yosef Kelleher,OT,O-Line,COL0144,Whitepine A&M,21,74,317,57.1,Round 7,44,70,52,4.62,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_130,2027,Lyle Yarborough,WR,Receiver,COL0205,Lakemont University,22,76,213,58.4,Round 6,51,70,80,4.24,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_131,2027,Nathanial Ratliff,OG,O-Line,COL0124,Falcon Ridge College,21,75,329,73.5,Round 3,64,96,32,4.69,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_132,2027,Matias Skowronek,LB,Front Seven,COL0037,Kelvinridge University,21,74,242,55.2,Round 7,49,63,39,4.53,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_133,2027,Axel Peebles,S,Secondary,COL0217,Ravensburg State Tech,21,70,204,43.2,Priority UDFA,35,65,22,4.54,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_134,2027,Ashton Kanell,EDGE,Front Seven,COL0061,Havenport College,21,74,265,57.1,Round 7,52,72,40,4.52,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_135,2027,Cassian Stroman,WR,Receiver,COL0076,Cypress Hollow Institute,22,73,189,65.0,Round 5,53,82,80,4.53,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_136,2027,Beckham Quarterman,FB,Backfield,COL0216,Ravensburg Institute,22,69,229,72.1,Round 4,66,93,40,4.41,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
